none	none	none	GPM06600004172	human, cow, dog, human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600005003	human	none	none	none	none	none	 	none	none	none	none
none	none	none	GPM06600005686	yeast	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600007654	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600006620	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600003662	yeast	none	none	rbeavis@thegpm.org	none	Global Proteome Machine	Ronald C. Beavis	none	none	none	none
none	none	none	GPM06600001368	mouse ,rat	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600007688	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600006871	cow	none	none	none	none	GSF	hs	none	none	none	none
none	none	none	GPM06600000350	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600008943	mouse	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600002006	yeast	none	none	rbeavis@thegpm.org	none	Global Proteome Machine	Ronald C. Beavis	none	none	none	none
none	none	none	GPM06600001066	mouse	none	none	wannemkm@umdnj.edu	none	UMDNJ	Ken	none	none	none	none
none	none	none	GPM06600008020	Aspergillus_nidulans_FGSC_A4	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600003398	yeast	none	none	rbeavis@thegpm.org	none	Global Proteome Machine	Ronald C. Beavis	none	none	none	none
none	none	none	GPM06600005034	human, mouse, rat	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600000124	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600006479	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600007803	mouse	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600005162	human, cow, dog, yeast	none	none	none	none	none	 	none	none	none	none
none	none	none	GPM06600009388	Rhodobacter_sphaeroides_2_4_1	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600009300	human_ipi	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600001851	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600008960	cow	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600008329	rat	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600008358	yeast, yeast	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600006780	rat	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600009341	human_up	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600003701	yeast	none	none	rbeavis@thegpm.org	none	Global Proteome Machine	Ronald C. Beavis	none	none	none	none
none	none	none	GPM06600002017	yeast	none	none	rbeavis@thegpm.org	none	Global Proteome Machine	Ronald C. Beavis	none	none	none	none
none	none	none	GPM06600004178	human, mouse, rat	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600005072	human	none	none	none	none	none	 	none	none	none	none
test	none	none	GPM06600006108	cow	none	none	broschitzki@gmail.com	none	UNI ZH	Bernd	fetuin standard	none	none	none
none	none	none	GPM06600008191	yeast	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600006318	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600003798	yeast	none	none	rbeavis@thegpm.org	none	Global Proteome Machine	Ronald C. Beavis	none	none	none	none
none	none	none	GPM06600003401	yeast	none	none	rbeavis@thegpm.org	none	Global Proteome Machine	Ronald C. Beavis	none	none	none	none
none	none	none	GPM06600005535	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600006660	mouse	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600004342	yeast, yeast	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600005647	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600001604	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600006435	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600005845	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600001371	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600004797	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600003938	human	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600002913	yeast	none	none	rbeavis@thegpm.org	none	Global Proteome Machine	Ronald C. Beavis	none	none	none	none
none	none	none	GPM06600007581	mouse	none	none	none	none	none	none	none	none	none	none
none	none	none	GPM06600002570	yeast	none	none	rbeavis@thegpm.org	none	Global Proteome Machine	Ronald C. Beavis	none	none	none	none
none	none	none	GPM06600005109	human	none	none	none	none	none	 	none	none	none	none
