kinase project 2009	none	none	Models from 'C:\spectra\kinase\1\cmn\CDK2_FC117_KP062_170409-s1.mzXML.cmn'	human	none	none	none	none	SLRI	Karen Colwill, Pawson Lab	none	none	none	none	2009-10-11
QStar Elite data	none	none	Models from 'C:\spectra\Elite\2008_09_25_grb2-LIMK2_FC174_KP032-s1.mzXML.cmn'	human	none	none	none	none	SLRI	Pawson Lab	none	none	none	none	2009-10-19
20080421_DP47_A128_P17	none	none	Models from 'F:\thegpm\spectra\pawson\20080421_DP47_A128_P17\C02_5270.mgf'	human	none	none	none	none	SLRI	Pawson Lab	none	none	none	none	2009-09-04
LTQ1 data sets	none	none	Models from 'C:\spectra\ltq1\PAW_20050412_MML_P173Jerry-B11.RAW.cmn'	human	none	none	none	none	SLRI	Pawson Lab	none	none	none	none	2009-10-27
20081229_Jerry_P32	none	none	Models from 'F:\thegpm\spectra\pawson\20081229_Jerry_P32\B05re.mgf'	human	none	none	none	none	SLRI	Pawson Lab	none	none	none	none	2009-09-23
LTQ1 data sets	none	none	Models from 'C:\spectra\ltq1\PAW_20050806_MML_P182Clark-E06.RAW.cmn'	human	none	none	none	none	SLRI	Pawson Lab	none	none	none	none	2009-10-28
Claus_25 done 3	none	none	Models from 'C:\spectra\Claus_25\other\done3\mdm2_360_batch2_orbirun4.RAW.cmn'	human	none	none	none	none	SLRI	Pawson Lab	none	none	none	none	2009-10-05
LTQ1 data sets	none	none	Models from 'C:\spectra\ltq1\PAW_20050716_MML_DP-GW1_35-F03_1156.RAW.cmn'	human	none	none	none	none	SLRI	Pawson Lab	none	none	none	none	2009-10-28
QStar Elite data	none	none	Models from 'C:\spectra\Elite\2008_07_21-Vasa_240708-s1.mzXML.cmn'	human	none	none	none	none	SLRI	Pawson Lab	none	none	none	none	2009-10-14
20080529_Sushi1_A130_P17	none	none	Models from 'F:\thegpm\spectra\pawson\20080529_Sushi1_A130_P17\G07_5430.mgf'	human	none	none	none	none	SLRI	Pawson Lab	none	none	none	none	2009-09-05
Claus_25 done 3	none	none	Models from 'C:\spectra\Claus_25\other\done3\CJnorm_7-7_AdeltaV.RAW.cmn'	human	none	none	none	none	SLRI	Pawson Lab	none	none	none	none	2009-10-05
Elite data	none	none	Models from 'C:\spectra\Elite\QSTARELITE-Andrew-2009_03_24_Chen-cleanup_6_tdrkh.mgf'	human	none	none	none	none	SLRI	Pawson Lab	none	none	none	none	2009-10-01
LTQ1 data sets 2	none	none	Models from 'D:\spectra\ltq1\20081125_S3HUVECB35_A139_P17-B10_6286re.RAW.cmn'	human	none	none	none	none	SLRI	Pawson Lab	none	none	none	none	2009-10-24
